#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 00 23 999 99.0 99.0  0.45 10.53  6.11  97 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 00 53 999 99.0 99.0  0.46 10.53  6.36 101 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 01 23 999 99.0 99.0  0.46 10.53  6.43 108 9999.0 999.0  20.1 999.0 99.0 99.00
2018 01 01 01 53 999 99.0 99.0  0.47  9.88  6.73  98 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 02 23 999 99.0 99.0  0.47 10.53  6.86  97 9999.0 999.0  20.1 999.0 99.0 99.00
2018 01 01 02 53 999 99.0 99.0  0.44 10.53  6.67 109 9999.0 999.0  20.1 999.0 99.0 99.00
2018 01 01 03 23 999 99.0 99.0  0.45 10.53  7.03 107 9999.0 999.0  20.1 999.0 99.0 99.00
2018 01 01 03 53 999 99.0 99.0  0.43 10.53  6.83  98 9999.0 999.0  20.2 999.0 99.0 99.00
2018 01 01 04 23 999 99.0 99.0  0.47  9.88  7.36 111 9999.0 999.0  20.1 999.0 99.0 99.00
2018 01 01 04 53 999 99.0 99.0  0.46  9.88  7.17 109 9999.0 999.0  20.2 999.0 99.0 99.00
2018 01 01 05 23 999 99.0 99.0  0.45  9.88  6.76 107 9999.0 999.0  20.2 999.0 99.0 99.00
2018 01 01 05 53 999 99.0 99.0  0.45 10.53  6.67 104 9999.0 999.0  20.1 999.0 99.0 99.00
2018 01 01 06 23 999 99.0 99.0  0.46  9.88  6.58  98 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 06 53 999 99.0 99.0  0.45  9.09  6.52 104 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 07 23 999 99.0 99.0  0.45  9.88  6.41 104 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 07 53 999 99.0 99.0  0.49  9.88  6.51 107 9999.0 999.0  19.9 999.0 99.0 99.00
2018 01 01 08 23 999 99.0 99.0  0.48  9.88  6.43 107 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 08 53 999 99.0 99.0  0.46  9.09  6.31  97 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 09 23 999 99.0 99.0  0.50  9.09  6.37  88 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 09 53 999 99.0 99.0  0.49  9.09  6.11  95 9999.0 999.0  20.0 999.0 99.0 99.00
2018 01 01 10 53 999 99.0 99.0  0.53  9.88  6.29  99 9999.0 999.0  20.0 999.0 99.0 99.00
